Case Number,Date,Year,Type,Country,Area,Activity,Age,Fatal (Y/N),Sex,Month
2006.08.13,13-Aug-2006,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Lifesaving drill,24,N,M,Aug
2006.07.31.a,31-Jul-2006,2006,Unprovoked,USA,Oregon,Surfing,41,N,M,Jul
2006.07.29.a,29-Jul-2006,2006,Unprovoked,USA,Florida,Surfing,15,N,M,Jul
2006.07.28,28-Jul-2006,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,19,N,M,Jul
2006.07.25,25-Jul-2006,2006,Unprovoked,USA,Florida,Surfing,14,N,M,Jul
2006.07.17,17-Jul-2006,2006,Unprovoked,USA,South Carolina,Standing,49,N,M,Jul
2006.07.12,12-Jul-2006,2006,Unprovoked,USA,South Carolina,Swimming,21,N,F,Jul
2006.07.09.b,09-Jul-2006,2006,Unprovoked,USA,Florida,Wading,40,N,M,Jul
2006.07.09.a,09-Jul-2006.,2006,Unprovoked,USA,Florida,Walking,11,N,M,Jul
2006.07.08.b,08-Jul-2006,2006,Unprovoked,USA,South Carolina,Body boarding,14,N,F,Jul
2006.07.08.a,08-Jul-2006,2006,Unprovoked,USA,Florida,Swimming,13,N,M,Jul
2006.06.24,24-Jun-2006,2006,Unprovoked,BAHAMAS,Andros Islands,Spearfishing,25,N,M,Jun
2006.06.20,20-Jun-2006,2006,Unprovoked,USA,Florida,Surfing,22,N,F,Jun
2006.06.18,18-Jun-2006,2006,Unprovoked,BRAZIL,Pernambuco,Body boarding,27,Y,M,Jun
2006.06.17,17-Jun-2006,2006,Unprovoked,USA,California,Scuba diving,43,N,M,Jun
2006.06.15,15-Jun-2006,2006,Unprovoked,USA,Florida,Surfing,24,N,M,Jun
2006.06.05,05-Jun-2006,2006,Unprovoked,AUSTRALIA,South Australia,Surfing,40,N,M,Jun
2006.05.31,31-May-2006,2006,Unprovoked,USA,Hawaii,Spearfishing,26,N,M,May
2006.05.27,27-May-2006,2006,Unprovoked,USA,Hawaii,Surfing,31,N,M,May
2006.05.24,24-May-2006,2006,Provoked,USA,Hawaii,Spearfishing,15,N,M,May
2006.05.21,21-May-2006,2006,Unprovoked,BRAZIL,Pernambuco,Surfing,33,N,M,May
2006.05.02,02-May-2006,2006,Provoked,AUSTRALIA,Queensland,Snorkeling,46,N,M,May
2006.04.21,21-Apr-2006,2006,Unprovoked,USA,Florida,Surfing,54,N,M,Apr
2006.04.19,19-Apr-2006,2006,Unprovoked,USA,Florida,Standing,13,N,F,Apr
2006.04.13,13-Apr-2006,2006,Provoked,USA,Florida,Fishing,35,N,M,Apr
2006.04.11,11-Apr-2006,2006,Unprovoked,AUSTRALIA,New South Wales,Surfing,15,N,M,Apr
2006.04.09.b,09-Apr-2006,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body boarding,15,N,M,Apr
2006.04.09.a,09-Apr-2006,2006,Unprovoked,BRAZIL,Pernambuco,Swimming,35,N,M,Apr
2006.04.03,03-Apr-2006,2006,Unprovoked,USA,Florida,Wading,11,N,M,Apr
2006.03.23,23-Mar-2006,2006,Unprovoked,USA,Hawaii,Surfing,28,N,F,Mar
2006.03.19,18-Mar-2006,2006,Unprovoked,FIJI,Vitu Levu,Surfing,21,N,M,Mar
2006.03.15,15-Mar-2006,2006,Unprovoked,AUSTRALIA,New South Wales,Surfing,15,N,M,Mar
2006.02.27,27-Feb-2006,2006,Unprovoked,USA,Hawaii,Standing,15,N,F,Feb
2006.02.13,13-Feb-2006,2006,Unprovoked,AUSTRALIA,Queensland,Wading,18,N,M,Feb
2006.02.08,08-Feb-2006,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,15,N,M,Feb
2006.02.01.b,01-Feb-2006,2006,Unprovoked,TONGA,Vava'u,Swimming,24,Y,F,Feb
2006.02.01.a,01-Feb-2006,2006,Boating,USA,Hawaii,Kayaking,57,N,M,Feb
2006.01.25,25-Jan-2006,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Spearfishing,34,N,M,Jan
2006.01.15,15-Jan-2006,2006,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,52,N,M,Jan
2006.01.07,07-Jan-2006,2006,Unprovoked,AUSTRALIA,Queensland,Swimming,21,Y,F,Jan
2006.01.04,04-Jan-2006,2006,Unprovoked,USA,Florida,Surfing,21,N,M,Jan
2005.12.24,24-Dec-2005,2005,Unprovoked,USA,Oregon,Surfing,30,N,M,Dec
2005.12.21,21-Dec-2005,2005,Unprovoked,USA,Hawaii,Swimming,29,N,M,Dec
2005.12.11,11-Dec-2005,2005,Unprovoked,AUSTRALIA,Queensland,Spearfishing,44,N,M,Dec
2005.11.27,27-Nov-2005,2005,Unprovoked,USA,Florida,Surfing,23,N,M,Nov
2005.11.25.b,25-Nov-2005,2005,Unprovoked,AUSTRALIA,Victoria,Surfing,18,N,M,Nov
2005.11.25.a,25-Nov-2005,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,26,N,M,Nov
2005.11.20,20-Nov-2005,2005,Unprovoked,USA,Florida,Surfing,17,N,M,Nov
2005.11.15,15-Nov-2005,2005,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing for sharks,32,N,M,Nov
2005.11.12,12-Nov-2005,2005,Unprovoked,USA,Florida,Surfing,18,N,M,Nov
2005.11.02.b,02-Nov-2005,2005,Unprovoked,USA,California,Surfing,25,N,M,Nov
2005.11.02.a,02-Nov-2005,2005,Unprovoked,USA,California,Surfing,26,N,M,Nov
2005.10.29,29-Oct-2005,2005,Unprovoked,USA,Florida,Wading,15,N,M,Oct
2005.10.25,25-Oct-2005,2005,Unprovoked,ST. MAARTIN,Simpson Bay,Standing,55,N,M,Oct
2005.10.21,21-Oct-2005,2005,Unprovoked,USA,California,Surfing,36,N,M,Oct
2005.10.19,19-Oct-2005,2005,Unprovoked,USA,California,Surfing,20,N,F,Oct
2005.10.15,15-Oct-2005,2005,Provoked,USA,Florida,Wading,15,N,M,Oct
2005.10.13,13-Oct-2005,2005,Unprovoked,USA,Hawaii,Surfing,22,N,M,Oct
2005.10.11,11-Oct-2005,2005,Unprovoked,GRAND CAYMAN,East Wall,Scuba diving,57,N,F,Oct
2005.10.03,03-Oct-2005,2005,Unprovoked,BAHAMAS,Abaco Islands,Diving,35,N,M,Oct
2005.10.01,01-Oct-2005,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,52,N,M,Oct
2005.09.27.R,Reported      27-Sep-2005,2005,Unprovoked,AUSTRALIA,New South Wales,Surfing,28,N,M,Sep
2005.09.24,24-Sep-2005,2005,Unprovoked,AUSTRALIA,South Australia,Surfing,26,N,M,Sep
2005.09.23,23-Sep-2005,2005,Unprovoked,AUSTRALIA,Western Australia,Surfing,44,N,M,Sep
2005.09.20,20-Sep-2005,2005,Unprovoked,USA,South Carolina,Body surfing,68,N,F,Sep
2005.09.11,11-Sep-2005,2005,Unprovoked,USA,South Carolina,Surfing,18,Y,M,Sep
2005.09.07,07-Sep-2005,2005,Unprovoked,AUSTRALIA,New South Wales,Standing,15,N,M,Sep
2005.09.05,05-Sep-2005,2005,Unprovoked,USA,North Carolina,Wading,18,N,F,Sep
2005.09.04.a,04-Sep-2005,2005,Unprovoked,AUSTRALIA,South Australia,Surfing,40,N,M,Sep
2005.08.24.b,24-Aug-2005,2005,Unprovoked,AUSTRALIA,South Australia,Scuba diving,23,Y,M,Aug
2005.08.24.a,24-Aug-2005,2005,Unprovoked,USA,California,Surfing,37,N,M,Aug
2005.08.19,19-Aug-2005,2005,Unprovoked,USA,Texas,Walking,12,N,M,Aug
2005.08.12,12-Aug-2005,2005,Unprovoked,USA,North Carolina,Surfing,16,N,M,Aug
2005.08.06,6-Aug-2005,2005,Unprovoked,USA,South Carolina,Swimming,14,N,M,Aug
2005.07.27,27-Jul-2005,2005,Unprovoked,USA,Florida,Wading,13,N,F,Jul
2005.07.23,23-Jul-2005,2005,Unprovoked,USA,Florida,Surfing,61,N,M,Jul
2005.07.15,15-Jul-2005,2005,Unprovoked,USA,North Carolina,Swimming,22,N,M,Jul
2005.07.01,1-Jul-2005,2005,Unprovoked,USA,Florida,Standing,19,N,M,Jul
2005.06.27,27-Jun-2005,2005,Unprovoked,USA,Florida,Fishing,16,N,M,Jun
2005.06.16,16-Jun-2005,2005,Unprovoked,USA,Florida,Swimming,20,N,M,Jun
2005.06.13,13-Jun-2005,2005,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Diving,38,N,F,Jun
2005.06.07,07-Jun-2005,2005,Unprovoked,USA,South Carolina,Boogie boarding,11,N,F,Jun
2005.05.28,28-May-2005,2005,Unprovoked,USA,Florida,Swimming,33,N,M,May
2005.05.25,25-May-2005,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,32,N,M,May
2005.05.02,02-May-2005,2005,Unprovoked,USA,Hawaii,Surfing,47,N,M,May
2005.04.25,25-Apr-2005,2005,Provoked,AUSTRALIA,New South Wales,Fishing,25,N,M,Apr
2005.04.16.b,16-Apr-2005,2005,Unprovoked,AUSTRALIA,Northern Territory,Spearfishing,20,N,M,Apr
2005.04.16.a,16-Apr-2005,2005,Unprovoked,AUSTRALIA,New South Wales,Surfing,40,N,M,Apr
2005.04.13,13-Apr-2005,2005,Unprovoked,USA,Florida,Wading,70,N,F,Apr
2005.04.07,07-Apr-2005,2005,Unprovoked,USA,Texas,Surfing,37,N,M,Apr
2005.03.28,28-Mar-2005,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,32,N,M,Mar
2005.03.19,19-Mar-2005,2005,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,26,Y,M,Mar
2005.02.26,26-Feb-2005,2005,Unprovoked,AUSTRALIA,Queensland,Swimming,18,N,M,Feb
2005.02.04,04-Feb-2005,2005,Unprovoked,BRAZIL,Bahia,Surfing,12,N,M,Feb
2005.01.20,20-Jan-2005,2005,Unprovoked,CUBA,Santiago de Cuba Province,Swimming,19,N,M,Jan
2004.12.11,11-Dec-2004,2004,Unprovoked,AUSTRALIA,Queensland,Spearfishing,38,Y,M,Dec
2004.11.27,27-Nov-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,20,N,M,Nov
2004.11.26,26-Nov-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Playing,16,N,M,Nov
2004.11.15,15-Nov-2004,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,77,Y,F,Nov
2004.11.11.b,11-Nov-2004,2004,Unprovoked,USA,California,Surfing,38,N,unknown,Nov
2004.10.31,31-Oct-2004,2004,Unprovoked,CUBA,Camaguey Province,Diving,40,N,M,Oct
2004.10.21,21-Oct-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Surfing,59,N,M,Oct
2004.10.09.b,09-Oct-2004,2004,Unprovoked,USA,Hawaii,Spearfishing,34,N,M,Oct
2004.10.09.a,09-Oct-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,34,N,M,Oct
2004.10.06,06-Oct-2004,2004,Unprovoked,REUNION,Conservatória District,Body boarding,15,N,M,Oct
2004.10.02,02-Oct-2004,2004,Unprovoked,USA,California,Surfing,16,N,M,Oct
2004.10.01,01-Oct-2004,2004,Unprovoked,USA,California,Surfing,40,N,M,Oct
2004.09.20,20-Sep-2004,2004,Unprovoked,USA,Oregon,Surfing,26,N,M,Sep
2004.08.29,29-Aug-2004,2004,Unprovoked,USA,Florida,Walking,38,N,F,Aug
2004.08.21,21-Aug-2004,2004,Unprovoked,BRAZIL,Pernambuco,Bathing,24,N,M,Aug
2004.08.15,15-Aug-2004,2004,Unprovoked,USA,California,Diving,50,Y,M,Aug
2004.08.06,06-Aug-2004,2004,Unprovoked,USA,Florida,Swimming,47,N,M,Aug
2004.08.03,03-Aug-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,30,N,M,Aug
2004.07.31,31-Jul-2004,2004,Unprovoked,USA,Florida,Surfing,20,N,F,Jul
2004.07.28,28-Jul-2004,2004,Unprovoked,USA,North Carolina,Surfing,28,N,F,Jul
2004.07.27.b,27-Jul-2004,2004,Unprovoked,USA,North Carolina,Swimming,13,N,F,Jul
2004.07.27.a,27-Jul-2004,2004,Unprovoked,USA,Texas,Swimming,19,N,F,Jul
2004.07.10,10-Jul-2004,2004,Unprovoked,AUSTRALIA,Western Australia,Surfing,30,Y,M,Jul
2004.06.26.b,26-Jun-2004,2004,Unprovoked,USA,California,Surfing,45,N,M,Jun
2004.06.10.b,10-Jun-2004,2004,Unprovoked,AUSTRALIA,Western Australia,Body boarding,17,N,M,Jun
2004.05.29,29-May-2004,2004,Unprovoked,USA,Texas,Wading,16,N,M,May
2004.05.23.b,23-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,Swimming,17,N,M,May
2004.05.28,28-May-2004,2004,Unprovoked,USA,California,Surfing,44,N,M,May
2004.05.22.a,22-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,Wading,24,N,F,May
2004.05.01,01-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,Swimming,22,Y,M,May
2004.04.07,07-Apr-2004,2004,Unprovoked,USA,Hawaii,Surfing,57,Y,M,Apr
2004.04.05,05-Apr-2004,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,16,N,M,Apr
2004.03.31.a,31-Mar-2004,2004,Unprovoked,USA,Florida,Surfing,20,N,M,Mar
2004.03.29,29-Mar-2004,2004,Unprovoked,BRAZIL,Pernambuco,Body boarding,22,N,M,Mar
2004.03.27.b,27-Mar-2004,2004,Unprovoked,REUNION,Saint-Benoît,Surfing,20,N,M,Mar
2004.03.27.a,27-Mar-2004,2004,Unprovoked,USA,Florida,Swimming,61,N,M,Mar
2004.03.16,16-Mar-2004,2004,Unprovoked,USA,Hawaii,Surfing,51,N,M,Mar
2004.03.06,06-Mar-2004,2004,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,47,N,M,Mar
2004.02.29,29-Feb-2004,2004,Unprovoked,BRAZIL,Pernambuco,Swimming,29,Y,M,Feb
2004.02.26,26-Feb-2004,2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",Surfing,15,N,M,Feb
2004.02.11,11-Feb-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,22,N,M,Feb
2004.01.25,25-Jan-2004,2004,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,46,N,M,Jan
2004.01.23,23-Jan-2004,2004,Unprovoked,URUGUAY,Rocha,Surfing,21,N,M,Jan
2004.01.21.a,21-Jan-2004,2004,Unprovoked,VENEZUELA,Anzoategui,Spearfishing,40,N,M,Jan
2004.01.07,07-Jan-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,22,N,M,Jan
2003.12.13.b,13-Dec-2003,2003,Unprovoked,USA,Florida,Swimming,13,N,M,Dec
2003.11.27,27-Nov-2003,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,21,Y,M,Nov
2003.11.22,22-Nov-2003,2003,Unprovoked,USA,Florida,Surfing,35,N,F,Nov
2003.11.12.a,12-Nov-2003,2003,Unprovoked,USA,Florida,Surfing,24,N,M,Nov
2003.10.31.c,31-Oct-2003,2003,Unprovoked,USA,Florida,Surfing,18,N,M,Oct
2003.10.31.b,31-Oct-2003,2003,Unprovoked,AUSTRALIA,New South Wales,Surfing,22,N,M,Oct
2003.10.31.a,31-Oct-2003,2003,Unprovoked,USA,Hawaii,Surfing,13,N,F,Oct
2003.10.27,27-Oct-2003,2003,Unprovoked,USA,Florida,Surfing,46,N,M,Oct
2003.10.14,14-Oct-2003,2003,Unprovoked,USA,Florida,Surfing,19,N,M,Oct
2003.10.05.d,05-Oct-2003,2003,Unprovoked,USA,Florida,Surfing,18,N,M,Oct
2003.10.05.c,05-Oct-2003,2003,Provoked,USA,Florida,Surfing,30,N,M,Oct
2003.10.05.b,05-Oct-2003,2003,Unprovoked,USA,Florida,Sitting on surfboard,50,N,M,Oct
2003.09.28,28-Sep-2003,2003,Unprovoked,USA,Florida,Surfing,16,N,M,Sep
2003.09.21,21-Sep-2003,2003,Unprovoked,USA,Florida,Surfing,21,N,M,Sep
2003.09.19,19-Sep-2003,2003,Unprovoked,USA,Florida,Surfing,19,N,M,Sep
2003.09.17,17-Sep-2003,2003,Unprovoked,USA,Florida,Surfing,17,N,M,Sep
2003.09.14.c,14-Sep-2003,2003,Unprovoked,USA,Florida,Surfing,30,N,M,Sep
2003.09.13.b,13-Sep-2003,2003,Unprovoked,USA,Florida,Body boarding,18,N,M,Sep
2003.09.12,12-Sep-2003,2003,Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,19,Y,M,Sep
2003.08.08,08-Aug-2003,2003,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sitting on surfboard,16,N,M,Aug
2003.07.26.R,Reported 26-Jul-2003,2003,Unprovoked,AUSTRALIA,Northern Territory,Surf skiing,37,N,M,Jul
2003.07.20,20-Jul-2003,2003,Unprovoked,USA,Florida,Surfing,18,N,M,Jul
2003.07.15,15-Jul-2003,2003,Unprovoked,USA,Florida,Wading,15,N,F,Jul
2003.07.09,10-Jul-2003,2003,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,58,N,M,Jul
2003.07.05.a,05-Jul-2003,2003,Unprovoked,USA,Florida,Surfing,21,N,M,Jul
2003.07.04,04-Jul-2003,2003,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,39,N,M,Jul
2003.06.30,30-Jun-2003,2003,Unprovoked,USA,Florida,Surfing,17,N,M,Jun
2003.06.26,26-Jun-2003,2003,Unprovoked,USA,Florida,Surfing,15,N,M,Jun
2003.06.24.b,24-Jun-2003,2003,Unprovoked,USA,Florida,Standing,12,N,F,Jun
2003.06.22,22-Jun-2003,2003,Unprovoked,USA,Johnston Atoll,Swimming,51,N,M,Jun
2003.06.19,19-Jun-2003,2003,Unprovoked,USA,North Carolina,Surfing ,33,N,M,Jun
2003.06.08,08-Jun-2003,2003,Unprovoked,USA,Florida,Surfing,15,N,unknown,Jun
2003.05.25,25-May-2003,2003,Unprovoked,USA,Florida,Surfing,18,N,M,May
2003.05.14,14-May-2003,2003,Unprovoked,USA,Florida,Wading,22,N,M,May
2003.05.10,10-May-2003,2003,Unprovoked,USA,Hawaii,Swimming,20,N,M,May
2003.05.07,07-May-2003,2003,Provoked,USA,Florida,Surfing,34,N,M,May
2003.04.25,25-Apr-2003,2003,Unprovoked,BRAZIL,Rio de Janeiro,Swimming ,16,N,M,Apr
2003.04.23.b,23-Apr-2003,2003,Unprovoked,BRAZIL,Pernambuco,Surfing,17,N,M,Apr
2003.04.21.b,21-Apr-2003,2003,Unprovoked,USA,Florida,Surfing,36,N,M,Apr
2003.04.21.a,21-Apr-2003,2003,Unprovoked,USA,Florida,Surfing,17,N,M,Apr
2003.04.20.c,20-Apr-2003,2003,Unprovoked,USA,Florida,Surfing,30,N,M,Apr
2003.04.20.b,20-Apr-2003,2003,Unprovoked,USA,Florida,Surfing,23,N,M,Apr
2003.04.20.a,20-Apr-2003,2003,Unprovoked,USA,Florida,Surfing,18,N,M,Apr
2003.04.18,18-Apr-2003,2003,Unprovoked,USA,Florida,Surfing,12,N,M,Apr
2003.04.11,11-Apr-2003,2003,Unprovoked,VENEZUELA,Nueva Esparta,Surfing,28,N,M,Apr
2003.04.04,04-Apr-2003,2003,Unprovoked,USA,Florida,Surfing,50,N,M,Apr
2003.02.27,27-Feb-2003,2003,Unprovoked,NEW ZEALAND,Southland,Scuba diving,44,N,M,Feb
2003.02.15.b,15-Feb-2003,2003,Unprovoked,AUSTRALIA,South Australia,Wading,37,N,M,Feb
2003.02.15.a,15-Feb-2003,2003,Unprovoked,USA,Florida,Swimming,54,N,M,Feb
2003.02.11,11-Feb-2003,2003,Unprovoked,AUSTRALIA,New South Wales,Swimming,24,N,M,Feb
2003.02.08,08-Feb-2003,2003,Unprovoked,AUSTRALIA,Queensland,Swimming,84,Y,M,Feb
2002.12.29,29-Dec-2002,2002,Unprovoked,AUSTRALIA,Queensland,Snorkeling,18,N,F,Dec
2002.12.24,24-Dec-2002,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,Snorkeling,25,N,M,Dec
2002.12.21,21-Dec-2002,2002,Unprovoked,AUSTRALIA,Queensland,Scuba diving,26,N,M,Dec
2002.12.16,16-Dec-2002,2002,Unprovoked,AUSTRALIA,Queensland,Swimming,23,Y,M,Dec
2002.12.01,01-Dec-2002,2002,Unprovoked,BRAZIL,Pernambuco,Surfing,19,Y,M,Dec
2002.11.28.a,28-Nov-2002,2002,Unprovoked,USA,California,Body boarding,48,N,M,Nov
2002.11.17,17-Nov-2002,2002,Unprovoked,USA,Hawaii,Swimming,34,N,F,Nov
2002.11.14,14-Nov-2002,2002,Unprovoked,TURKS & CAICOS,Caicos Bank,Snorkeling,41,N,F,Nov
2002.11.11,11-Nov-2002,2002,Unprovoked,USA,Florida,Surfing,21,N,M,Nov
2002.11.02,02-Nov-2002,2002,Unprovoked,USA,Florida,Boogie boarding,16,N,M,Nov
2002.10.30,30-Oct-2002,2002,Unprovoked,USA,Hawaii,Swimming,60,N,F,Oct
2002.10.14,14-Oct-2002,2002,Unprovoked,BRAZIL,Pernambuco,Swimming,36,Y,M,Oct
2002.10.11,11-Oct-2002,2002,Unprovoked,USA,Florida,Surfing,21,N,M,Oct
2002.10.05.b,05-Oct-2002,2002,Unprovoked,USA,Florida,Surfing,14,N,M,Oct
2002.10.05.a,05-Oct-2002,2002,Unprovoked,USA,Florida,Surfing,35,N,M,Oct
2002.10.03,03-Oct-2002,2002,Unprovoked,USA,Florida,Surfing,18,N,M,Oct
2002.09.30,30-Sep-2002,2002,Unprovoked,USA,Florida,Surfing,47,N,M,Sep
2002.09.29,29-Sep-2002,2002,Unprovoked,USA,Florida,Surfing,32,N,M,Sep
2002.09.21.a,21-Sep-2002,2002,Unprovoked,USA,California,Surfing,35,N,M,Sep
2002.09.16.b,16-Sep-2002,2002,Unprovoked,BRAZIL,Pernambuco,Swimming,19,N,M,Sep
2002.09.13,13-Sep-2002,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing,47,N,M,Sep
2002.09.09,09-Sep-2002,2002,Unprovoked,USA,Florida,Boogie boarding,20,N,M,Sep
2002.08.28,28-Aug-2002,2002,Unprovoked,USA,Hawaii,Surfing,16,N,M,Aug
2002.08.17,17-Aug-2002,2002,Unprovoked,USA,Alabama,Swimming,29,N,F,Aug
2002.08.14,14-Aug-2002,2002,Unprovoked,USA,Florida,Surfing,27,N,M,Aug
2002.08.11,11-Aug-2002,2002,Unprovoked,USA,Florida,Surfing,15,N,M,Aug
2002.08.07,07-Aug-2002,2002,Unprovoked,USA,Florida,Standing,15,N,M,Aug
2002.08.06.R,Reported 06-Aug-2002,2002,Provoked,UNITED KINGDOM,Cheshire,Diving,30,N,M,Aug
2002.08.05,05-Aug-2002,2002,Unprovoked,USA,North Carolina,Standing,14,N,M,Aug
2002.07.26,26-Jul-2002,2002,Unprovoked,USA,South Carolina,Surfing,13,N,M,Jul
2002.07.20,20-Jul-2002,2002,Unprovoked,USA,North Carolina,Swimming,15,N,F,Jul
2002.07.10,10-Jul-2002,2002,Provoked,USA,Florida,Surfing,19,N,M,Jul
2002.07.09.a,10-Jul-2002,2002,Unprovoked,BRAZIL,Pernambuco,Surfing,22,N,M,Jul
2002.06.20.b,20-Jun-2002,2002,Unprovoked,AUSTRALIA,Queensland,Surfing,30,N,M,Jun
2002.06.20.a,20-Jun-2002,2002,Unprovoked,USA,Florida,Swimming,11,N,F,Jun
2002.06.11.a,10-Jun-2002,2002,Unprovoked,USA,Florida,Surfing,28,N,M,Jun
2002.06.09.b,09-Jun-2002,2002,Unprovoked,USA,Florida,Surfing,50,N,M,Jun
2002.06.09.a,09-Jun-2002,2002,Unprovoked,USA,Florida,Swimming,10,N,M,Jun
2002.05.31.b,31-May-2002,2002,Unprovoked,USA,California,Surfing,24,N,M,May
2002.05.13,13-May-2002,2002,Unprovoked,USA,Florida,Fishing,31,N,M,May
2002.05.10,10-May-2002,2002,Unprovoked,BRAZIL,Pernambuco,Surfing,40,N,M,May
2002.04.18,18-Apr-2002,2002,Unprovoked,USA,Florida,Surfing,28,N,M,Apr
2002.04.12,12-Apr-2002,2002,Unprovoked,AUSTRALIA,New South Wales,Swimming,45,N,M,Apr
2002.04.09,09-Apr-2002,2002,Unprovoked,BAHAMAS,Abaco Islands,Standing,43,N,M,Apr
2002.04.02,02-Apr-2002,2002,Unprovoked,USA,Florida,Wading,41,N,M,Apr
2002.03.25.a,25-Mar-2002,2002,Unprovoked,USA,Florida,Wading,11,N,F,Mar
2002.03.24,24-Mar-2002,2002,Unprovoked,BRAZIL,Pernambuco,Swimming,16,Y,M,Mar
2002.03.15.b,15-Mar-2002,2002,Unprovoked,USA,Florida,Snorkeling,39,N,M,Mar
2002.03.15.a,15-Mar-2002,2002,Unprovoked,USA,Florida,Surfing,31,N,M,Mar
2002.02.07,07-Feb-2002,2002,Boating,AUSTRALIA,New South Wales,Kayaking,35,N,M,Feb
2002.01.30.b,30-Jan-2002,2002,Unprovoked,AUSTRALIA,New South Wales,Surfing,20,N,M,Jan
2002.01.30.a,30-Jan-2002,2002,Unprovoked,AUSTRALIA,Western Australia,Swimming,32,N,M,Jan
2002.01.04,04-Jan-2002,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,16,N,M,Jan
2002.01.01.b,01-Jan-2002,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,26,N,M,Jan
2002.01.01.a,01-Jan-2002,2002,Unprovoked,USA,Hawaii,Snorkeling,35,N,M,Jan
2001.11.23,23-Nov-2001,2001,Unprovoked,AUSTRALIA,New South Wales,Surfing,49,N,M,Nov
2001.10.02,02-Oct-2001,2001,Unprovoked,AUSTRALIA,Queensland,Snorkeling,20,N,F,Oct
2001.09.30.b,30-Sep-2001,2001,Unprovoked,MEXICO,Guerrero,Body surfing,26,N,M,Sep
2001.09.18,18-Sep-2001,2001,Unprovoked,USA,Florida,Surfing,14,N,M,Sep
2001.09.15.a,15-Sep-2001,2001,Unprovoked,USA,North Carolina,Surfing,16,N,M,Sep
2001.09.08,08-Sep-2001,2001,Provoked,USA,Florida,Fishing,44,N,M,Sep
2001.09.03.b,03-Sep-2001,2001,Unprovoked,USA,North Carolina,Swimming ,28,Y,M,Sep
2001.09.03.a,03-Sep-2001,2001,Unprovoked,USA,North Carolina,Swimming,23,N,F,Sep
2001.09.02,02-Sep-2001,2001,Unprovoked,USA,Florida,Wading,20,N,M,Sep
2001.09.01,01-Sep-2001,2001,Unprovoked,USA,Virginia,Swimming ,10,Y,M,Sep
2001.08.31,31-Aug-2001,2001,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,44,N,M,Aug
2001.08.29,29-Aug-2001,2001,Unprovoked,USA,Florida,Standing,29,N,F,Aug
2001.08.27,27-Aug-2001,2001,Unprovoked,USA,Florida,Wading,69,N,M,Aug
2001.08.26,26-Aug-2001,2001,Unprovoked,USA,Florida,Boogie Boarding,18,N,M,Aug
2001.08.25,25-Aug-2001,2001,Unprovoked,USA,Florida,Boogie Boarding,18,N,M,Aug
2001.08.22,22-Aug-2001,2001,Unprovoked,USA,Florida,Surfing,17,N,M,Aug
2001.08.21,21-Aug-2001,2001,Unprovoked,USA,Florida,Surfing,27,N,M,Aug
2001.08.19.c,19-Aug-2001,2001,Unprovoked,USA,Florida,Surfing,32,N,M,Aug
2001.08.19.b,19-Aug-2001,2001,Unprovoked,USA,Florida,Surfing,17,N,F,Aug
